TIMESTAMP,RECORD,RSR_GHI_Avg,PSP_GHI_Avg,SPN_GHI_Avg,RSR_DHI_Avg,SPN_DHI_Avg,RSR_DNI_Avg,PIR_Avg,RSR_Zen_Avg,RSR_Az_Avg,AirTemp_Avg,RH_Avg,Press_Avg,WS_WVc(1),WS_WVc(2),MXWS_Max,Rain_Tot,Hail_Tot,Batt_Volt_Avg,T_Case_Avg,T_Dome_Avg
2023-01-26 16:37:00,10,68.9,50.84,80.3,26.58,33.32,365.8,293.5,83.4,242.8,14.6,14.6,2.86,2.86,14.61,4.7,57.6,0,15.03,292.7,292.7
2023-01-26 16:39:00,11,,47.1,79.59,5.05,31.69,,293.5,83.8,243.1,22.18,24.0,183.4,2.045,22.61,4.6,32.4,0,0.0,292.5,292.6
2023-01-26 16:40:00,12,59.73,45.48,77.07,29.26,30.51,287.2,292.9,83.9,243.2,15.91,18.2,2.46,2.46,6.533,4.2,45.9,0,15.03,292.5,292.6
2023-01-26 16:41:00,13,56.51,43.81,75.86,24.83,32.06,308.5,293.2,84.1,243.4,25.2,25.2,1.7,1.7,25.2,3.0,32.7,0,15.03,292.5,292.5
2023-01-26 16:42:00,14,53.78,41.64,74.08,23.96,30.29,299.8,291.6,84.3,243.5,22.4,22.4,1.76,1.76,22.4,2.8,35.1,0,14.94,292.4,292.5
2023-01-26 16:43:00,15,51.05,40.0,70.79,23.12,30.93,290.4,292.6,84.5,243.7,18.8,18.8,2.4,2.4,18.77,3.2,41.4,0,15.03,292.4,292.4
2023-01-26 16:44:00,16,48.14,38.13,70.7,22.79,30.19,272.9,292.1,84.7,243.8,16.2,16.2,2.88,2.88,16.24,3.9,48.9,0,15.03,292.3,292.4
2023-01-26 16:45:00,17,45.58,36.57,68.83,22.39,31.29,258.7,293.2,84.9,244.0,17.28,22.0,1.7,1.7,4.02,2.8,35.1,0,15.03,292.3,292.3
2023-01-26 16:46:00,18,43.37,35.26,65.24,22.47,30.53,242.0,291.7,85.0,244.1,19.6,19.6,2.74,2.74,19.6,4.2,54.9,0,15.03,292.2,292.3
2023-01-26 16:47:00,19,40.97,33.62,58.95,21.75,28.71,231.3,291.7,85.2,244.3,17.2,17.2,1.92,1.92,17.2,2.8,38.1,0,15.03,292.2,292.2
2023-01-26 16:48:00,20,38.2,31.48,56.58,20.8,28.04,218.0,291.5,85.4,244.4,10.8,10.8,1.94,1.94,10.8,3.5,40.2,0,15.03,292.1,292.2
2023-01-26 16:49:00,21,35.3,29.56,54.68,19.93,24.91,200.8,291.5,85.6,244.5,12.8,12.8,2.72,2.72,12.79,3.6,48.9,0,15.03,292.1,292.1
2023-01-26 16:50:00,22,32.27,27.94,53.46,19.36,27.14,176.3,291.3,85.8,244.7,22.0,22.0,3.38,3.38,22.02,5.2,67.2,0,15.03,292.0,292.0
2023-01-26 16:51:00,23,29.76,26.3,49.24,18.8,25.23,156.7,291.6,86.0,244.8,27.4,27.4,1.84,1.84,27.4,2.6,33.6,0,15.03,291.9,292.0
2023-01-26 16:52:00,24,27.79,24.6,47.62,17.97,24.97,147.3,291.5,86.2,245.0,31.0,31.0,1.64,1.64,30.9,3.0,29.7,0,15.03,291.9,291.9
2023-01-26 16:53:00,25,25.89,23.3,43.46,17.63,24.12,130.5,291.6,86.4,245.1,19.97,22.4,1.9,1.9,28.7,2.8,36.6,0,15.03,291.9,291.9
2023-01-26 16:54:00,26,24.29,21.93,44.41,16.83,23.99,124.3,291.1,86.6,245.2,15.91,20.8,1.4,1.4,6.813,2.8,31.5,0,15.03,291.8,291.8
2023-01-26 16:55:00,27,22.3,20.37,42.93,16.54,24.15,101.6,290.9,86.8,245.4,25.49,30.4,1.44,1.44,43.14,2.5,27.9,0,15.03,291.7,291.7
2023-01-26 16:56:00,28,20.61,18.87,36.84,15.81,20.51,90.0,291.4,86.9,245.5,17.8,17.8,1.96,1.96,17.8,2.6,36.3,0,14.94,291.7,291.6
2023-01-26 16:57:00,29,18.67,17.7,34.75,15.08,19.04,71.65,291.0,87.1,245.7,21.24,26.2,2.46,2.46,12.25,4.0,44.1,0,15.04,291.6,291.6
2023-01-26 16:58:00,30,17.0,16.28,32.54,14.84,19.43,46.16,290.7,87.3,245.8,31.0,31.0,2.4,2.4,31.0,3.0,43.5,0,15.04,291.5,291.5
2023-01-26 16:59:00,31,16.14,15.06,32.65,14.06,19.42,48.19,290.7,87.5,245.9,19.8,19.8,2.18,2.18,19.8,2.9,40.5,0,15.04,291.5,291.4
2023-01-26 17:00:00,32,15.25,13.8,29.89,13.2,18.03,51.42,290.5,87.7,246.1,13.4,13.4,2.48,2.48,13.39,4.0,49.2,0,15.04,291.4,291.3
2023-01-26 17:01:00,33,14.89,12.78,29.5,12.99,17.02,51.99,289.8,87.9,246.2,11.96,17.0,1.94,1.94,3.802,2.8,35.1,0,15.04,291.3,291.3
2023-01-26 17:02:00,34,13.84,11.3,27.52,12.09,16.63,52.78,289.7,88.1,246.4,30.2,30.2,1.32,1.32,30.2,1.8,24.6,0,15.04,291.3,291.2
2023-01-26 17:03:00,35,13.45,9.63,28.42,11.58,19.31,62.38,289.9,88.3,246.5,19.25,21.8,1.76,1.76,15.44,2.5,32.4,0,15.04,291.2,291.1
2023-01-26 17:04:00,36,12.9,8.21,25.2,11.2,15.92,63.89,289.9,88.5,246.6,17.2,17.2,2.6,2.6,17.2,3.6,48.9,0,15.04,291.1,291.1
2023-01-26 17:05:00,37,12.26,7.153,23.21,10.51,15.96,75.91,290.3,88.7,246.8,14.0,14.0,1.86,1.86,13.86,2.6,34.8,0,15.04,291.1,291.0
